1	в	в	ADP	_	_	_	_	_	@pvv1934m-words#@pvv1934m#19.99#20.552
2	эфире	эфир	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	_	_	_	@pvv1934m-words#@pvv1934m#20.552#21.114
3	программа	программа	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@pvv1934m-words#@pvv1934m#21.114#21.676
4	Познер	Познер	PROPN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@pvv1934m-words#@pvv1934m#21.676#22.238
5	/	/	PUNCT	_	_	_	_	_	@pvv1934m-words#@pvv1934m#22.238#22.8
6	/	/	PUNCT	_	_	_	_	_	@pvv1934m-words#@pvv1934m#22.8#23.345
7	гость	гость	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@pvv1934m-words#@pvv1934m#23.345#23.89
8	программы	программа	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@pvv1934m-words#@pvv1934m#23.89#24.435
9	Рената	Рената	PROPN	_	Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@pvv1934m-words#@pvv1934m#24.435#24.98
10	Литвинова	Литвинова	PROPN	_	Animacy=Anim|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@pvv1934m-words#@pvv1934m#24.98#25.525
11	/	/	PUNCT	_	_	_	_	_	@pvv1934m-words#@pvv1934m#25.525#26.07
12	режиссер	режиссер	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@pvv1934m-words#@pvv1934m#26.07#26.442
13	/	/	PUNCT	_	_	_	_	_	@pvv1934m-words#@pvv1934m#26.442#26.814
14	сценарист	сценарист	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@pvv1934m-words#@pvv1934m#26.814#27.186
15	/	/	PUNCT	_	_	_	_	_	@pvv1934m-words#@pvv1934m#27.186#27.558
16	актриса	актриса	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@pvv1934m-words#@pvv1934m#27.558#27.93
17	/	/	PUNCT	_	_	_	_	_	@pvv1934m-words#@pvv1934m#27.93#28.302
18	здрасьте	здрасьте	INTJR	_	_	_	_	_	@pvv1934m-words#@pvv1934m#28.302#28.674
19	/	/	PUNCT	_	_	_	_	_	@pvv1934m-words#@pvv1934m#28.674#29.05
20	как	как	ADV	_	Degree=Pos	_	_	_	@pvv1934m-words#@pvv1934m#30.38#30.601
21	вам	вы	PRON	_	Case=Dat|Number=Plur|Person=2	_	_	_	@pvv1934m-words#@pvv1934m#30.601#30.822
22	погода	погода	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@pvv1934m-words#@pvv1934m#30.822#31.043
23	сегодня	сегодня	ADV	_	Degree=Pos	_	_	_	@pvv1934m-words#@pvv1934m#31.043#31.264
24	ну	ну	PART	_	_	_	_	_	@rml1967f-words#@rml1967f#32.29#32.538
25	да	да	PART	_	_	_	_	_	@rml1967f-words#@rml1967f#32.538#32.786
26	/	/	PUNCT	_	_	_	_	_	@rml1967f-words#@rml1967f#32.786#33.034
27	такая	такой	DET	_	Case=Nom|Gender=Fem|Number=Sing	_	_	_	@rml1967f-words#@rml1967f#33.034#33.282
28	/	/	PUNCT	_	_	_	_	_	@rml1967f-words#@rml1967f#33.282#33.53
29	/	/	PUNCT	_	_	_	_	_	@rml1967f-words#@rml1967f#33.53#33.78
30	одновременно	одновременно	ADV	_	Degree=Pos	_	_	_	@rml1967f-words#@rml1967f#33.78#34.466
31	все	весь	DET	_	Case=Acc|Number=Plur	_	_	_	@rml1967f-words#@rml1967f#34.466#35.152
32	стихии	стихия	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur	_	_	_	@rml1967f-words#@rml1967f#35.152#35.84
33	тяжеловато	тяжеловато	ADV	_	_	_	_	_	@rml1967f-words#@rml1967f#35.84#36.43
34	не	не	PART	_	_	_	_	_	@rml1967f-words#@rml1967f#42.81#42.961
35	кстати	кстати	ADV	_	Degree=Pos	_	_	_	@rml1967f-words#@rml1967f#42.961#43.112
36	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@rml1967f-words#@rml1967f#43.112#43.263
37	не	не	PART	_	_	_	_	_	@rml1967f-words#@rml1967f#43.263#43.414
38	завишу	зависеть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@rml1967f-words#@rml1967f#43.414#43.565
39	от	от	ADP	_	_	_	_	_	@rml1967f-words#@rml1967f#43.565#43.716
40	погоды	погода	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@rml1967f-words#@rml1967f#43.716#43.867
41	/	/	PUNCT	_	_	_	_	_	@rml1967f-words#@rml1967f#43.867#44.02
42	совсем	совсем	ADV	_	Degree=Pos	_	_	_	@rml1967f-words#@rml1967f#44.96#45.275
43	ну	ну	PART	_	_	_	_	_	@pvv1934m-words#@pvv1934m#49.24#49.812
44	хорошо	хорошо	ADV	_	Degree=Pos	_	_	_	@pvv1934m-words#@pvv1934m#49.812#50.384
45	как-то	как-то	ADV	_	Degree=Pos	_	_	_	@pvv1934m-words#@pvv1934m#51.02#51.484
